timestamp,rmssd,coverage,low_frequency,high_frequency
2022-03-13T01:25:00,31.551,0.898,1222.791,209.297
2022-03-13T01:30:00,29.798,0.927,921.501,254.352
2022-03-13T01:35:00,39.36,0.983,577.318,565.398
2022-03-13T01:40:00,35.175,0.942,800.549,602.287
2022-03-13T01:45:00,31.736,1.003,596.466,450.021
2022-03-13T01:50:00,35.578,1.001,465.687,461.566
2022-03-13T01:55:00,38.076,1.005,679.143,642.708
2022-03-13T02:00:00,29.122,0.996,1396.524,324.186
2022-03-13T02:05:00,34.255,0.981,417.648,431.029
2022-03-13T02:10:00,34.882,1.003,764.235,464.788
2022-03-13T02:15:00,44.915,0.934,634.433,737.897
2022-03-13T02:20:00,43.1,1.002,396.401,811.1
2022-03-13T02:25:00,38.947,0.988,1162.524,491.506
2022-03-13T02:30:00,43.406,0.942,316.515,606.503
2022-03-13T02:35:00,39.26,0.939,1007.848,729.209
2022-03-13T02:40:00,27.924,0.95,985.07,278.367
2022-03-13T02:45:00,28.61,1.005,1761.942,252.809
2022-03-13T02:50:00,39.595,0.927,1937.27,477.64
2022-03-13T02:55:00,42.224,1.003,1162.668,684.736
2022-03-13T03:00:00,45.298,1.005,1429.229,752.024
2022-03-13T03:05:00,48.42,1.002,482.854,851.519
2022-03-13T03:10:00,50.284,1.002,727.29,954.585
2022-03-13T03:15:00,50.065,1.006,513.369,881.591
2022-03-13T03:20:00,52.569,0.952,647.603,1002.69
2022-03-13T03:25:00,44.027,1.001,2120.474,453.416
2022-03-13T03:30:00,40.062,0.999,1140.562,332.032
2022-03-13T03:35:00,39.095,0.955,563.883,290.017
2022-03-13T03:40:00,41.486,1.006,475.75,368.535
2022-03-13T03:45:00,43.998,0.966,4145.362,435.855
2022-03-13T03:50:00,45.908,0.998,1981.312,617.316
2022-03-13T03:55:00,39.647,0.992,1499.745,422.517
2022-03-13T04:00:00,40.459,0.993,2582.433,338.435
2022-03-13T04:05:00,45.443,0.939,2822.381,507.49
2022-03-13T04:10:00,69.323,1.001,2057.631,1436.048
2022-03-13T04:15:00,50.906,0.962,3500.231,593.691
2022-03-13T04:20:00,59.296,0.813,1865.69,475.423
2022-03-13T04:25:00,55.704,0.97,899.578,884.988
2022-03-13T04:30:00,79.44,1.005,462.067,1913.495
2022-03-13T04:35:00,59.483,0.881,794.965,729.856
2022-03-13T04:40:00,60.792,1.0,365.33,925.871
2022-03-13T04:45:00,59.615,0.977,1206.364,1086.246
2022-03-13T04:50:00,69.321,0.988,325.493,1455.469
2022-03-13T04:55:00,68.938,0.962,1486.474,1372.596
2022-03-13T05:00:00,58.534,0.86,2242.737,629.601
2022-03-13T05:05:00,56.774,1.004,347.134,1004.752
2022-03-13T05:10:00,61.649,0.989,1233.383,1290.01
2022-03-13T05:15:00,61.022,0.991,931.287,1250.94
2022-03-13T05:20:00,66.704,1.005,1492.483,1674.567
2022-03-13T05:25:00,66.999,0.995,581.001,1659.742
2022-03-13T05:30:00,62.049,0.971,863.072,1374.168
2022-03-13T05:35:00,75.259,0.943,3984.087,1709.238
2022-03-13T05:40:00,62.692,0.94,6412.684,1180.192
2022-03-13T05:45:00,52.509,0.915,3113.906,905.472
2022-03-13T05:50:00,60.808,0.86,2859.071,837.607
2022-03-13T05:55:00,62.098,0.935,1284.769,1111.641
2022-03-13T06:00:00,48.506,0.998,667.794,670.929
2022-03-13T06:05:00,60.608,1.001,660.358,1028.493
2022-03-13T06:10:00,59.452,1.006,1170.844,1119.363
2022-03-13T06:15:00,61.336,0.99,1933.418,1383.877
2022-03-13T06:20:00,49.893,1.006,1784.09,562.458
2022-03-13T06:25:00,49.015,1.003,1104.016,795.282
2022-03-13T06:30:00,50.136,0.921,2672.06,830.424
2022-03-13T06:35:00,42.451,1.005,1305.793,479.151
2022-03-13T06:40:00,39.618,0.936,2483.923,559.087
2022-03-13T06:45:00,43.644,1.0,2405.931,502.123
2022-03-13T06:55:00,44.011,0.79,1493.849,582.998
2022-03-13T07:20:00,44.67,0.871,1247.248,560.309
2022-03-13T07:25:00,40.039,0.812,1350.125,408.997
2022-03-13T07:30:00,35.441,0.952,1003.304,441.441
2022-03-13T07:35:00,31.431,0.992,785.858,402.114
2022-03-13T07:40:00,38.605,0.758,1139.611,377.015
2022-03-13T07:45:00,33.91,0.842,876.155,198.499
2022-03-13T07:50:00,32.915,1.003,692.465,252.039
2022-03-13T07:55:00,31.546,0.972,1204.002,324.136
2022-03-13T08:00:00,32.175,0.981,663.668,362.445
2022-03-13T08:05:00,36.871,1.005,1622.14,204.215
2022-03-13T08:10:00,36.923,0.98,1850.708,315.729
2022-03-13T08:15:00,33.043,0.999,755.63,380.697
2022-03-13T08:20:00,34.499,0.937,2020.501,377.867
2022-03-13T08:25:00,41.462,0.983,3351.094,836.134
2022-03-13T08:30:00,43.049,0.99,1603.458,929.515
2022-03-13T08:35:00,39.224,1.003,990.852,569.578
2022-03-13T08:40:00,42.033,1.0,674.725,735.221
2022-03-13T08:45:00,49.619,0.959,1049.467,806.58
2022-03-13T08:50:00,45.041,1.005,1108.995,666.836
2022-03-13T08:55:00,42.969,0.984,1419.508,346.368
