timestamp,rmssd,coverage,low_frequency,high_frequency
2022-03-25T02:00:00,16.018,0.853,313.759,75.204
2022-03-25T02:05:00,20.294,0.949,190.834,115.791
2022-03-25T02:10:00,24.448,0.949,409.215,201.01
2022-03-25T02:15:00,25.799,1.004,226.424,270.796
2022-03-25T02:20:00,26.076,1.002,604.618,231.808
2022-03-25T02:25:00,23.799,1.004,688.409,210.877
2022-03-25T02:30:00,24.413,1.003,266.974,238.148
2022-03-25T02:35:00,25.762,0.977,566.589,283.071
2022-03-25T02:40:00,26.901,1.003,206.794,272.809
2022-03-25T02:45:00,29.48,1.003,420.094,391.527
2022-03-25T02:50:00,28.208,0.932,395.81,290.559
2022-03-25T02:55:00,31.507,1.002,556.527,335.469
2022-03-25T03:00:00,26.696,1.0,410.681,179.554
2022-03-25T03:05:00,24.356,1.001,396.694,212.387
2022-03-25T03:10:00,26.68,1.003,596.799,291.302
2022-03-25T03:15:00,26.543,1.003,352.426,253.816
2022-03-25T03:20:00,45.839,0.972,2775.466,851.561
2022-03-25T03:25:00,47.005,0.937,1992.615,953.157
2022-03-25T03:30:00,43.724,0.938,1508.472,764.122
2022-03-25T03:35:00,29.769,1.004,840.398,302.389
2022-03-25T03:40:00,25.714,1.004,444.513,235.862
2022-03-25T03:45:00,46.6,0.909,2204.066,921.09
2022-03-25T03:50:00,55.164,1.002,562.344,1172.731
2022-03-25T03:55:00,51.917,1.002,710.67,1048.978
2022-03-25T04:00:00,52.532,1.005,768.17,1130.834
2022-03-25T04:05:00,52.409,0.899,2598.11,903.654
2022-03-25T04:10:00,62.677,0.989,1275.483,1328.267
2022-03-25T04:15:00,60.525,0.87,789.923,1132.46
2022-03-25T04:20:00,47.925,1.002,544.318,821.646
2022-03-25T04:25:00,44.344,1.004,1277.421,567.438
2022-03-25T04:30:00,56.974,0.861,2089.558,633.675
2022-03-25T04:35:00,46.01,1.003,730.358,591.712
2022-03-25T04:40:00,41.692,1.002,812.238,409.946
2022-03-25T04:45:00,54.073,0.968,2309.934,811.71
2022-03-25T04:50:00,59.113,0.958,2214.734,970.855
2022-03-25T04:55:00,44.321,0.997,830.912,489.45
2022-03-25T05:00:00,42.477,1.003,760.303,555.322
2022-03-25T05:05:00,40.674,0.958,568.227,457.901
2022-03-25T05:10:00,60.967,0.962,1379.115,1252.675
2022-03-25T05:15:00,44.044,1.004,1861.682,730.707
2022-03-25T05:20:00,31.57,0.985,861.389,400.981
2022-03-25T05:25:00,31.233,0.975,902.787,361.915
2022-03-25T05:30:00,39.98,0.968,1739.602,316.307
2022-03-25T05:35:00,33.653,1.002,1420.64,225.779
2022-03-25T05:40:00,36.631,1.0,2145.325,511.513
2022-03-25T05:45:00,38.576,0.91,2195.507,488.433
2022-03-25T05:50:00,32.644,1.004,1308.487,366.394
2022-03-25T05:55:00,30.099,1.003,885.298,327.965
2022-03-25T06:00:00,35.749,0.937,1052.219,360.117
2022-03-25T06:05:00,38.128,1.002,1555.187,517.262
2022-03-25T06:10:00,39.45,1.004,388.763,810.767
2022-03-25T06:15:00,40.122,0.872,1031.409,732.049
2022-03-25T06:20:00,37.009,1.005,785.64,466.646
2022-03-25T06:25:00,34.406,0.99,1460.83,331.765
2022-03-25T06:30:00,32.623,1.003,748.492,395.149
2022-03-25T06:35:00,32.607,1.001,753.532,302.866
2022-03-25T06:40:00,33.923,1.003,740.063,366.266
2022-03-25T06:45:00,42.169,0.947,3250.399,301.785
2022-03-25T06:50:00,46.824,1.004,1356.62,743.321
2022-03-25T06:55:00,53.312,0.897,2417.976,856.543
2022-03-25T07:00:00,72.041,0.881,3190.378,1972.23
2022-03-25T07:05:00,58.568,0.925,1617.171,945.948
2022-03-25T07:10:00,65.715,0.984,3342.019,1593.049
2022-03-25T07:15:00,67.849,0.967,2929.245,1645.546
2022-03-25T07:20:00,77.256,0.997,3756.863,1981.312
2022-03-25T07:25:00,56.687,0.907,3033.81,827.816
2022-03-25T07:30:00,53.053,0.989,2592.199,1059.924
2022-03-25T07:35:00,56.081,1.004,1419.194,990.479
2022-03-25T07:40:00,58.659,0.922,2277.975,1154.135
2022-03-25T07:45:00,67.717,0.987,3917.992,1560.683
2022-03-25T07:50:00,57.032,0.964,1068.512,935.36
2022-03-25T07:55:00,49.945,0.982,679.184,765.492
2022-03-25T08:00:00,54.764,0.968,3401.131,1058.903
2022-03-25T08:05:00,63.662,1.003,1085.157,1671.466
2022-03-25T08:10:00,59.003,1.005,1035.671,1341.692
2022-03-25T08:15:00,51.714,1.002,771.469,906.535
2022-03-25T08:20:00,52.266,0.876,1799.76,831.624
2022-03-25T08:25:00,51.625,0.968,2552.858,643.69
2022-03-25T08:30:00,56.049,0.976,3666.973,956.881
2022-03-25T08:35:00,45.408,0.946,3509.376,531.769
2022-03-25T08:40:00,36.77,0.983,1379.119,396.155
2022-03-25T08:45:00,44.364,0.805,804.745,181.6
