timestamp,bucket_values
2022-03-01T09:24:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.003, 0.008, 0.017, 0.031, 0.084, 0.151, 0.164, 0.182, 0.173, 0.116, 0.046, 0.014, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-02T08:03:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.004, 0.014, 0.041, 0.082, 0.118, 0.166, 0.18, 0.188, 0.127, 0.056, 0.013, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-03T09:20:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.009, 0.014, 0.027, 0.069, 0.148, 0.225, 0.22, 0.154, 0.087, 0.031, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-04T11:09:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.008, 0.009, 0.025, 0.165, 0.404, 0.22, 0.114, 0.043, 0.01, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-05T10:43:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.007, 0.02, 0.063, 0.102, 0.096, 0.085, 0.084, 0.109, 0.141, 0.154, 0.099, 0.03, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-06T07:30:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.004, 0.006, 0.011, 0.038, 0.11, 0.155, 0.154, 0.167, 0.162, 0.121, 0.054, 0.011, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-07T09:33:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.003, 0.002, 0.004, 0.008, 0.017, 0.027, 0.064, 0.136, 0.201, 0.206, 0.175, 0.103, 0.039, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-08T09:50:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.002, 0.008, 0.019, 0.056, 0.087, 0.108, 0.161, 0.209, 0.18, 0.104, 0.044, 0.014, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-09T08:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.001, 0.006, 0.009, 0.017, 0.022, 0.047, 0.153, 0.265, 0.234, 0.153, 0.071, 0.016, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-10T09:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.007, 0.012, 0.019, 0.029, 0.057, 0.111, 0.206, 0.223, 0.172, 0.118, 0.035, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-11T09:35:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.001, 0.001, 0.003, 0.009, 0.014, 0.043, 0.098, 0.149, 0.175, 0.197, 0.177, 0.093, 0.03, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-12T10:48:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.002, 0.004, 0.01, 0.018, 0.039, 0.101, 0.19, 0.258, 0.216, 0.109, 0.038, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-13T06:59:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.002, 0.007, 0.063, 0.111, 0.107, 0.118, 0.131, 0.147, 0.154, 0.103, 0.04, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-13T09:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.002, 0.007, 0.063, 0.112, 0.108, 0.119, 0.132, 0.146, 0.152, 0.102, 0.04, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-14T07:40:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.012, 0.02, 0.027, 0.047, 0.079, 0.149, 0.212, 0.205, 0.144, 0.067, 0.023, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-15T08:13:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.007, 0.016, 0.046, 0.089, 0.119, 0.142, 0.168, 0.184, 0.148, 0.057, 0.014, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-16T08:50:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.004, 0.002, 0.004, 0.007, 0.017, 0.03, 0.088, 0.187, 0.242, 0.203, 0.123, 0.058, 0.023, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-17T09:27:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.002, 0.006, 0.014, 0.031, 0.06, 0.115, 0.197, 0.211, 0.172, 0.113, 0.049, 0.015, 0.003, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-18T08:05:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.002, 0.006, 0.012, 0.016, 0.038, 0.081, 0.153, 0.202, 0.204, 0.152, 0.09, 0.032, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-19T11:58:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.005, 0.017, 0.052, 0.11, 0.137, 0.148, 0.134, 0.137, 0.147, 0.081, 0.022, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-20T10:57:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.006, 0.014, 0.055, 0.269, 0.288, 0.176, 0.102, 0.048, 0.023, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-21T08:11:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.002, 0.003, 0.008, 0.012, 0.021, 0.049, 0.112, 0.185, 0.207, 0.193, 0.132, 0.057, 0.013, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-22T08:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.003, 0.003, 0.004, 0.008, 0.015, 0.03, 0.076, 0.141, 0.195, 0.197, 0.145, 0.107, 0.05, 0.017, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-23T09:42:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.001, 0.002, 0.006, 0.01, 0.019, 0.048, 0.121, 0.223, 0.254, 0.18, 0.089, 0.033, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-24T08:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.008, 0.013, 0.025, 0.057, 0.115, 0.199, 0.259, 0.201, 0.084, 0.025, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-25T08:50:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.005, 0.01, 0.049, 0.157, 0.201, 0.194, 0.181, 0.122, 0.056, 0.016, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-26T09:23:30,"[0.0, 0.0, 0.0, 0.001, 0.005, 0.008, 0.01, 0.095, 0.242, 0.286, 0.182, 0.095, 0.047, 0.02, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-27T11:32:30,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.004, 0.002, 0.016, 0.062, 0.375, 0.362, 0.129, 0.036, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-28T08:43:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.005, 0.011, 0.106, 0.135, 0.112, 0.175, 0.177, 0.127, 0.076, 0.043, 0.019, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-29T10:04:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.005, 0.013, 0.025, 0.049, 0.084, 0.125, 0.166, 0.187, 0.189, 0.113, 0.033, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
