timestamp,rmssd,coverage,low_frequency,high_frequency
2021-12-16T01:25:00,55.52,0.828,194.607,454.598
2021-12-16T01:30:00,52.2,0.946,478.593,524.229
2021-12-16T01:35:00,53.89,0.921,547.156,544.792
2021-12-16T01:40:00,58.136,1.005,401.313,809.557
2021-12-16T01:45:00,58.304,1.002,338.516,629.374
2021-12-16T01:50:00,58.914,0.997,190.893,806.101
2021-12-16T01:55:00,58.32,0.92,1744.473,828.781
2021-12-16T02:00:00,55.571,1.004,540.881,553.228
2021-12-16T02:05:00,53.985,1.004,635.222,491.566
2021-12-16T02:10:00,57.629,0.995,320.684,617.673
2021-12-16T02:15:00,55.815,0.997,883.372,641.562
2021-12-16T02:20:00,60.285,0.949,1736.095,728.555
2021-12-16T02:25:00,54.984,0.996,400.025,595.901
2021-12-16T02:30:00,53.681,1.007,462.202,575.388
2021-12-16T02:35:00,54.943,1.001,307.718,584.781
2021-12-16T02:40:00,54.654,1.006,587.048,707.98
2021-12-16T02:45:00,46.5,0.945,633.091,449.353
2021-12-16T02:50:00,88.027,0.979,1433.696,1783.217
2021-12-16T02:55:00,85.484,0.979,1303.494,1743.54
2021-12-16T03:00:00,81.107,0.973,251.807,1520.996
2021-12-16T03:05:00,56.749,0.941,3198.317,739.88
2021-12-16T03:10:00,60.528,0.996,386.662,757.489
2021-12-16T03:15:00,65.223,0.995,770.114,719.597
2021-12-16T03:20:00,59.35,1.003,380.275,656.764
2021-12-16T03:25:00,69.16,1.003,445.849,839.324
2021-12-16T03:30:00,73.336,1.004,1281.243,1167.732
2021-12-16T03:35:00,68.576,1.005,514.078,915.454
2021-12-16T03:40:00,64.517,1.005,418.045,703.556
2021-12-16T03:45:00,69.675,1.001,763.113,849.757
2021-12-16T03:50:00,69.871,1.005,781.651,958.281
2021-12-16T03:55:00,70.211,1.003,1272.789,786.714
2021-12-16T04:00:00,71.393,0.999,713.749,1031.765
2021-12-16T04:05:00,65.468,1.003,601.712,721.02
2021-12-16T04:10:00,76.592,0.85,6525.77,1102.378
2021-12-16T04:15:00,80.292,1.003,663.88,1873.791
2021-12-16T04:20:00,82.663,0.976,1377.61,1919.599
2021-12-16T04:25:00,87.198,0.936,1016.957,2365.699
2021-12-16T04:30:00,87.476,0.987,5743.545,1623.849
2021-12-16T04:35:00,96.176,0.914,3342.515,2042.076
2021-12-16T04:40:00,86.401,0.983,538.352,2028.451
2021-12-16T04:45:00,96.791,0.983,458.577,2083.26
2021-12-16T04:50:00,116.462,0.999,224.595,4141.522
2021-12-16T04:55:00,104.221,0.996,600.47,2712.536
2021-12-16T05:00:00,108.843,0.983,1764.973,2582.006
2021-12-16T05:05:00,116.703,0.997,216.755,3197.623
2021-12-16T05:10:00,83.894,1.003,184.659,1489.696
2021-12-16T05:15:00,72.358,0.951,5141.461,1087.291
2021-12-16T05:20:00,98.312,1.002,1273.406,2565.497
2021-12-16T05:25:00,100.764,0.995,1128.75,2039.023
2021-12-16T05:30:00,117.529,1.002,1227.094,4495.58
2021-12-16T05:35:00,106.365,1.003,1225.493,3116.654
2021-12-16T05:40:00,91.494,0.93,4489.901,1718.961
2021-12-16T05:45:00,69.022,0.956,7063.454,636.828
2021-12-16T05:50:00,50.473,0.951,1850.792,453.204
2021-12-16T05:55:00,65.125,0.954,3394.616,1218.825
2021-12-16T06:00:00,72.739,0.975,1192.993,1435.57
2021-12-16T06:05:00,74.046,0.885,4970.348,1334.111
2021-12-16T06:10:00,56.582,0.921,1436.031,578.626
2021-12-16T06:15:00,63.88,0.972,2981.055,753.114
2021-12-16T06:20:00,59.824,0.967,4681.074,698.553
2021-12-16T06:25:00,62.933,0.859,4064.763,458.78
2021-12-16T06:30:00,81.995,0.951,2334.773,1441.628
2021-12-16T06:35:00,89.464,0.82,2714.01,1721.996
2021-12-16T06:40:00,77.103,0.785,4267.627,1468.17
2021-12-16T06:45:00,79.999,0.942,1719.327,1325.789
2021-12-16T06:50:00,88.827,0.982,2189.662,2349.31
2021-12-16T06:55:00,90.673,1.003,359.32,2606.992
2021-12-16T07:00:00,102.241,0.949,438.777,3580.503
2021-12-16T07:05:00,56.703,1.005,463.474,753.483
2021-12-16T07:10:00,52.25,0.994,437.971,716.834
2021-12-16T07:15:00,54.217,1.005,639.144,756.236
2021-12-16T07:20:00,50.193,1.003,727.997,618.865
2021-12-16T07:25:00,47.325,1.004,716.212,506.988
2021-12-16T07:30:00,49.37,1.002,348.967,631.293
2021-12-16T07:35:00,45.815,1.005,484.158,486.693
2021-12-16T07:40:00,47.036,1.005,659.061,463.6
2021-12-16T07:45:00,51.617,0.801,3174.791,613.602
2021-12-16T07:50:00,50.884,0.885,1466.429,545.607
2021-12-16T07:55:00,87.601,0.989,5625.972,1745.812
2021-12-16T08:00:00,57.481,0.903,1561.253,691.847
2021-12-16T08:05:00,59.088,0.934,1642.661,885.758
2021-12-16T08:10:00,61.901,0.991,2942.391,754.401
2021-12-16T08:15:00,67.792,0.942,2416.716,1050.066
