timestamp,rmssd,coverage,low_frequency,high_frequency
2022-01-13T00:10:00,44.046,0.894,1008.62,406.984
2022-01-13T00:15:00,52.23,1.003,705.985,631.795
2022-01-13T00:20:00,50.079,0.942,4384.489,618.291
2022-01-13T00:25:00,48.027,0.903,352.915,403.335
2022-01-13T00:30:00,53.506,0.928,629.929,598.555
2022-01-13T00:35:00,66.725,1.004,400.308,1369.279
2022-01-13T00:40:00,62.585,1.003,258.363,1184.769
2022-01-13T00:45:00,55.196,0.948,4173.04,783.347
2022-01-13T00:50:00,55.949,1.003,925.681,965.617
2022-01-13T00:55:00,69.983,0.846,2223.042,1140.686
2022-01-13T01:00:00,69.693,0.998,1296.007,1674.65
2022-01-13T01:05:00,77.434,1.004,623.754,2412.428
2022-01-13T01:10:00,67.496,0.878,6135.221,1062.91
2022-01-13T01:15:00,47.561,1.001,335.88,611.655
2022-01-13T01:20:00,43.9,1.006,995.508,681.758
2022-01-13T01:25:00,50.86,0.969,2259.134,577.961
2022-01-13T01:30:00,62.933,0.9,3291.371,965.328
2022-01-13T01:35:00,62.36,1.003,382.021,1454.077
2022-01-13T01:40:00,65.531,0.98,1355.871,966.011
2022-01-13T01:45:00,90.45,1.001,675.816,2605.3
2022-01-13T01:50:00,68.818,0.988,486.943,1532.77
2022-01-13T01:55:00,67.777,0.897,2982.536,1164.547
2022-01-13T02:00:00,78.879,0.975,1228.12,2056.974
2022-01-13T02:05:00,83.206,0.998,735.804,2324.001
2022-01-13T02:10:00,83.249,1.004,1326.62,2211.708
2022-01-13T02:15:00,79.367,1.002,727.396,2892.26
2022-01-13T02:20:00,71.167,1.003,706.569,2635.166
2022-01-13T02:25:00,55.985,0.881,1703.593,757.45
2022-01-13T02:30:00,55.194,0.912,5283.819,946.097
2022-01-13T02:35:00,49.981,1.002,1377.607,832.919
2022-01-13T02:40:00,42.763,1.004,1543.37,752.067
2022-01-13T02:45:00,46.342,1.001,1342.846,532.819
2022-01-13T02:50:00,56.162,0.96,2020.219,688.721
2022-01-13T02:55:00,40.493,1.001,894.259,414.628
2022-01-13T03:00:00,41.589,0.984,903.907,517.907
2022-01-13T03:20:00,44.311,0.989,1364.704,642.9
2022-01-13T03:25:00,50.443,0.971,1054.833,582.381
2022-01-13T03:30:00,56.738,0.995,2661.56,694.234
2022-01-13T03:35:00,65.376,1.004,2136.407,1325.415
2022-01-13T03:40:00,56.217,1.003,796.991,1024.053
2022-01-13T03:45:00,64.36,0.965,4972.114,1293.342
2022-01-13T03:50:00,59.532,0.881,2644.732,718.849
2022-01-13T03:55:00,53.761,1.003,785.398,776.814
2022-01-13T04:00:00,52.02,0.956,1015.054,798.06
2022-01-13T04:05:00,53.744,0.975,923.034,833.982
2022-01-13T04:10:00,50.904,1.002,534.738,908.814
2022-01-13T04:15:00,44.577,0.992,581.874,536.084
2022-01-13T04:20:00,46.624,1.003,533.136,720.643
2022-01-13T04:25:00,40.257,1.003,625.492,484.07
2022-01-13T04:30:00,71.338,0.915,1497.829,2253.408
2022-01-13T04:35:00,57.214,1.003,980.067,1020.674
2022-01-13T04:40:00,50.843,0.929,1518.826,738.086
2022-01-13T04:45:00,82.952,1.004,528.911,2643.641
2022-01-13T04:50:00,72.366,0.969,2282.981,1331.583
2022-01-13T04:55:00,52.76,1.002,738.18,566.627
2022-01-13T05:00:00,58.546,0.948,290.297,1037.512
2022-01-13T05:05:00,57.347,0.995,753.921,903.914
2022-01-13T05:10:00,59.678,0.95,593.433,942.409
2022-01-13T05:15:00,64.274,0.925,1047.895,1087.347
2022-01-13T05:20:00,59.613,0.986,542.695,784.734
2022-01-13T05:25:00,59.329,1.005,380.086,820.267
2022-01-13T05:30:00,83.415,0.947,3376.732,2240.219
2022-01-13T05:35:00,66.359,0.999,1953.286,1088.942
2022-01-13T05:40:00,64.874,0.948,1186.774,862.655
2022-01-13T05:45:00,70.929,1.003,762.052,1598.636
2022-01-13T05:50:00,65.429,0.996,1061.832,1419.281
2022-01-13T05:55:00,43.286,0.964,1069.861,361.481
2022-01-13T06:00:00,79.715,0.931,3292.928,1279.829
2022-01-13T06:05:00,58.075,0.973,3782.529,733.352
2022-01-13T06:10:00,53.36,1.005,1901.464,821.416
2022-01-13T06:15:00,57.613,1.003,949.527,886.56
2022-01-13T06:20:00,71.797,0.931,3238.848,1077.626
2022-01-13T06:25:00,68.961,0.904,4816.489,1550.061
2022-01-13T06:30:00,66.01,0.995,2839.421,1262.874
2022-01-13T06:35:00,58.856,0.965,2974.586,628.498
2022-01-13T06:40:00,72.184,0.941,1764.786,1287.477
2022-01-13T06:45:00,79.13,0.926,2363.456,1286.033
2022-01-13T06:50:00,84.233,0.931,2978.999,1411.357
2022-01-13T06:55:00,82.164,0.911,2013.917,1482.289
2022-01-13T07:00:00,65.507,0.985,1538.159,756.805
2022-01-13T07:05:00,59.234,0.923,1633.189,701.876
2022-01-13T07:10:00,71.58,1.004,1214.866,1415.375
2022-01-13T07:15:00,54.763,0.869,793.032,691.559
2022-01-13T07:20:00,51.684,1.004,832.361,627.047
2022-01-13T07:25:00,61.696,0.867,1062.646,887.69
2022-01-13T07:30:00,59.84,0.988,522.394,819.727
2022-01-13T07:35:00,56.391,1.006,348.801,820.541
2022-01-13T23:50:00,36.252,0.901,689.432,356.071
2022-01-13T23:55:00,37.88,0.989,1497.343,444.124
